segment,product_name,category,P,H,C,L,R,prompt,marketing_copy,
Segment 1,EcoBrew Reusable Coffee Cup,Sustainability / Lifestyle,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Innovation
- Preferred channel: Phone
- Product preference: Sports
- Personality: Conscientious

Product:
- Name: EcoBrew Reusable Coffee Cup
- Category: Sustainability / Lifestyle
- Features: BPA-free, temperature control, made from recycled materials, customizable design

Output: A short, engaging ad copy (2–3 sentences).
    ","Elevate your coffee game with the EcoBrew Reusable Coffee Cup—where
innovation meets sustainability! Crafted from recycled materials and designed for
temperature control, this BPA-free cup lets you enjoy your favorite
brew while making a positive impact on the planet. Customize
your cup to reflect your unique style and take a
step towards a greener lifestyle—because every sip counts!",No privacy concern
Segment 1,BookLoop Reading Subscription,Entertainment / Education,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Innovation
- Preferred channel: Phone
- Product preference: Sports
- Personality: Conscientious

Product:
- Name: BookLoop Reading Subscription
- Category: Entertainment / Education
- Features: Curated book picks, community reviews, flexible membership tiers

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock a world of innovation with BookLoop, your personalized reading
subscription designed for the tech-savvy sport enthusiast! Dive into curated
book picks that resonate with your lifestyle while connecting with
a vibrant community of readers. Whether you're looking for a
quick read or an in-depth exploration, our flexible membership tiers
ensure you’ll always have the perfect book at your fingertips.
Join us today and elevate your reading experience!",No privacy concern
Segment 1,QuickCart+ Grocery App,Retail / eCommerce,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Innovation
- Preferred channel: Phone
- Product preference: Sports
- Personality: Conscientious

Product:
- Name: QuickCart+ Grocery App
- Category: Retail / eCommerce
- Features: One-hour delivery, smart reordering, loyalty rewards, app-exclusive deals

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock the future of grocery shopping with QuickCart+! Our innovative
app delivers your essentials in just one hour, while smart
reordering and exclusive deals keep your pantry stocked effortlessly. Join
our loyalty program today and experience the convenience that tech-savvy
shoppers like you deserve!",No privacy concern
Segment 1,RoadRider E-Bike,Mobility / Green Tech,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Innovation
- Preferred channel: Phone
- Product preference: Sports
- Personality: Conscientious

Product:
- Name: RoadRider E-Bike
- Category: Mobility / Green Tech
- Features: Long battery life, fast charge, GPS tracking, smartphone integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Experience the future of urban mobility with the RoadRider E-Bike,
where cutting-edge technology meets eco-friendly innovation. With its long battery
life and lightning-fast charge, you’ll conquer your commute effortlessly—plus, stay
connected with seamless smartphone integration and GPS tracking. Elevate your
ride and embrace a greener lifestyle today!",No privacy concern
Segment 2,EduMentor AI Learning Platform,Education / Tech,1,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Eco-friendly
- Primary value: Price
- Preferred channel: Phone
- Product preference: Apparel
- Personality: Analytical

Product:
- Name: EduMentor AI Learning Platform
- Category: Education / Tech
- Features: Adaptive learning, personalized recommendations, gamified quizzes

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock a smarter way to learn with EduMentor AI! Our
platform offers adaptive learning tailored to your needs, all while
being budget-friendly and eco-conscious. Join today and discover personalized recommendations
and gamified quizzes that make education both affordable and engaging—right
at your fingertips!",
Segment 2,RoadRider E-Bike,Mobility / Green Tech,0,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Eco-friendly
- Primary value: Price
- Preferred channel: Phone
- Product preference: Apparel
- Personality: Analytical

Product:
- Name: RoadRider E-Bike
- Category: Mobility / Green Tech
- Features: Long battery life, fast charge, GPS tracking, smartphone integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Hey there! If you're looking for an eco-friendly way to
save on your daily commute, the RoadRider E-Bike is the
perfect fit. With its long battery life and fast charging,
you'll enjoy a smooth ride while keeping your budget intact.
Plus, our smartphone integration and GPS tracking make every journey
efficient and effortless—let’s pedal towards a greener future together!",
Segment 2,HomeEase Smart Thermostat,Smart Home / Energy,0,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Eco-friendly
- Primary value: Price
- Preferred channel: Phone
- Product preference: Apparel
- Personality: Analytical

Product:
- Name: HomeEase Smart Thermostat
- Category: Smart Home / Energy
- Features: Remote control via app, energy optimization, voice assistant integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Transform your home into an eco-friendly haven with the HomeEase
Smart Thermostat! Optimize your energy use and save money—all while
controlling your comfort from your phone or with voice commands.
Take the analytical approach to living sustainably and enjoy the
perfect blend of affordability and innovation!",
Segment 2,LuxSkin Anti-Aging Serum,Beauty & Wellness,0,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Eco-friendly
- Primary value: Price
- Preferred channel: Phone
- Product preference: Apparel
- Personality: Analytical

Product:
- Name: LuxSkin Anti-Aging Serum
- Category: Beauty & Wellness
- Features: Vitamin C, retinol blend, dermatologist-tested, subscription delivery

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock youthful skin without breaking the bank! Our LuxSkin Anti-Aging
Serum, packed with a powerful blend of Vitamin C and
retinol, is dermatologist-tested and available through convenient subscription delivery. Call
us today to discover how you can achieve radiant skin
while staying eco-friendly and financially savvy!",
Segment 3,TravelGo Insurance App,FinTech / Travel,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Luxury-seeker
- Primary value: Price
- Preferred channel: Phone
- Product preference: Automotive
- Personality: Spontaneous

Product:
- Name: TravelGo Insurance App
- Category: FinTech / Travel
- Features: Real-time claims, AI-based risk prediction, 24/7 support

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock the freedom to travel spontaneously with TravelGo Insurance App—your
ultimate peace of mind on the road. Enjoy real-time claims
and AI-driven risk predictions, all backed by our dedicated 24/7
support. Ready to hit the road? Call us today to
discover how effortless luxury travel can truly be!",No privacy concern
Segment 3,QuickCart+ Grocery App,Retail / eCommerce,0,1,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Luxury-seeker
- Primary value: Price
- Preferred channel: Phone
- Product preference: Automotive
- Personality: Spontaneous

Product:
- Name: QuickCart+ Grocery App
- Category: Retail / eCommerce
- Features: One-hour delivery, smart reordering, loyalty rewards, app-exclusive deals

Output: A short, engaging ad copy (2–3 sentences).
    ","Indulge in the luxury of convenience with QuickCart+! Enjoy spontaneous
shopping sprees at your fingertips—get your premium groceries delivered in
just one hour, and unlock exclusive deals that reward your
love for quality. Call us today and elevate your shopping
experience to a whole new level!",
