customer_id,segment,age,gender,income_usd,education,occupation,family_size,marital_status,country,city_type,climate_zone,latitude,longitude,lifestyle,personality,primary_value,purchase_frequency_per_month,avg_order_value_usd,total_orders,total_spent_usd,last_purchase_days_ago,preferred_channel,product_category_pref,customer_lifetime_value_usd,recency_days,frequency_orders,monetary_usd,device_pref,os,browser,internet_speed_mbps,primary_motivation,nps,csat_1_5,email_open_rate,app_usage_per_week,support_tickets_last_year,churn_risk,is_active,signup_date,last_login_date
CUST1000,Segment 1,56,Male,58410,High School,Executive,3,Married,Australia,Rural,Mediterranean,58.4832,4.7192,Tech-savvy,Conscientious,Innovation,0,8.81,15,114.46,65,Phone,Sports,227.44,65,15,114.46,Mobile,Other,Chrome,64.8,Convenience,66,3.9,0.45,12,0,Low,Yes,09/11/2022,29/09/2024
CUST1001,Segment 2,69,Male,75713,Other,Executive,4,Domestic partnership,Germany,Suburban,Temperate,26.7978,19.125,Eco-friendly,Analytical,Price,0,90.25,17,1657.14,482,Phone,Apparel,3984.62,482,17,1657.14,Tablet,Linux,Safari,9,Lowest price,25,4.5,0.18,1,0,High,Yes,26/09/2025,19/10/2024
CUST1002,Segment 3,46,Non-binary,109337,PhD,Freelancer,4,Domestic partnership,Germany,Rural,Tropical,8.9706,-115.4894,Luxury-seeker,Spontaneous,Price,0,59.44,168,10328.68,247,Phone,Automotive,30837.65,247,168,10328.68,Mobile,macOS,Edge,66.4,Quality,-44,1.8,0.85,4,0,Low,Yes,19/06/2023,22/11/2024
CUST1003,Segment 4,32,Female,49452,High School,Retired,2,Single,South Africa,Suburban,Temperate,-15.952,-35.7508,Family-oriented,Conscientious,Innovation,0,149.02,146,22509.53,155,Phone,Automotive,28429.05,155,146,22509.53,Desktop,Other,Firefox,54.9,Convenience,-20,3.4,0.88,16,1,High,Yes,27/09/2023,25/10/2025
CUST1004,Segment 5,60,Female,40745,High School,Self-employed,3,Married,Canada,Suburban,Arid,39.5175,-92.3639,Adventurer,Social,Innovation,2,113.94,183,22499.67,46,In-store,Groceries,34862.41,46,183,22499.67,Desktop,macOS,Edge,49.5,Lowest price,61,3.8,0.47,5,2,Medium,Yes,19/04/2025,06/12/2024
CUST1005,Segment 6,25,Female,49947,Associate,Executive,4,Divorced,Australia,Suburban,Tropical,25.3204,-112.255,Luxury-seeker,Introverted,Sustainability,2,18.02,153,3230.85,453,Mobile app,Home & Garden,5780.48,453,153,3230.85,Mobile,iOS,Firefox,40.3,Quality,68,3.7,0.08,1,0,High,Yes,17/07/2023,27/10/2024
CUST1006,Segment 7,78,Male,92462,Associate,Executive,1,Single,Germany,Urban,Polar,-32.1121,147.1889,Tech-savvy,Spontaneous,Convenience,2,24.7,59,1622.02,200,Social,Sports,2990.45,200,59,1622.02,Tablet,iOS,Edge,78.1,Novelty,-28,2.6,0.39,3,0,High,Yes,12/03/2020,27/12/2024
CUST1007,Segment 8,38,Male,74863,Masters,Student,1,Domestic partnership,Australia,Suburban,Arid,50.202,-39.7409,Homebody,Social,Brand,2,106.24,78,6815.45,659,In-store,Electronics,12418.04,659,78,6815.45,Mobile,Linux,Chrome,73.7,Lowest price,40,1.1,0.8,21,1,High,Yes,24/09/2025,28/09/2024
CUST1008,Segment 9,56,Prefer not to say,49107,Masters,Executive,5,Single,Brazil,Suburban,Temperate,40.4791,96.7648,Tech-savvy,Analytical,Innovation,1,125.82,124,17802.94,123,Mobile app,Sports,50119.23,123,124,17802.94,Mobile,Linux,Firefox,30.7,Sustainability,-31,3.3,0.9,25,1,Medium,Yes,20/01/2025,26/07/2025
CUST1009,Segment 10,75,Male,80398,Masters,Unemployed,3,Divorced,Canada,Urban,Tropical,54.478,-58.7006,Budget-conscious,Spontaneous,Innovation,2,148.35,114,15055.25,0,Mobile app,Apparel,36555.13,0,114,15055.25,Mobile,macOS,Firefox,60.2,Status,-95,2,0.2,10,0,Low,Yes,03/09/2024,03/04/2025
CUST1010,Segment 11,36,Male,67912,Associate,Retired,3,Domestic partnership,Australia,Urban,Arid,29.8291,60.8208,Eco-friendly,Social,Quality,4,147.87,22,3092.97,639,Mobile app,Groceries,6853.44,639,22,3092.97,Tablet,iOS,Safari,25.7,Status,-17,2.8,0.07,7,1,High,Yes,28/03/2021,18/03/2025
CUST1011,Segment 12,40,Male,94059,Masters,Self-employed,5,Widowed,United Kingdom,Suburban,Temperate,17.4757,82.8638,Adventurer,Conscientious,Price,0,69.63,158,10833.14,190,Phone,Books,17536.1,190,158,10833.14,Desktop,iOS,Edge,15.5,Sustainability,-49,4.8,0.88,11,0,Medium,Yes,11/04/2019,15/11/2024
CUST1012,Segment 13,28,Female,43938,High School,Professional,4,Widowed,Germany,Rural,Tropical,-3.9933,36.7788,Budget-conscious,Analytical,Quality,1,96.76,172,16515.61,578,In-store,Sports,43726.41,578,172,16515.61,Mobile,Linux,Other,34.3,Lowest price,-98,2.6,0.39,7,0,Low,Yes,26/08/2024,12/12/2024
CUST1013,Segment 14,28,Female,55170,Associate,Self-employed,3,Married,United Kingdom,Suburban,Mediterranean,52.6001,2.0413,Budget-conscious,Social,Brand,1,152.92,32,4766.56,515,Mobile app,Books,13871.27,515,32,4766.56,Tablet,Other,Other,71.6,Sustainability,-20,4.4,0.54,10,0,Medium,Yes,20/01/2023,12/09/2025
CUST1014,Segment 15,41,Male,53237,Masters,Retired,1,Single,Canada,Rural,Continental,45.267,-14.6845,Eco-friendly,Analytical,Innovation,0,56.8,179,11945.86,441,Social,Beauty,31565.7,441,179,11945.86,Tablet,Windows,Safari,73.8,Status,-38,1.8,0.97,21,1,Low,Yes,23/04/2024,01/05/2025
CUST1015,Segment 16,70,Female,21095,High School,Unemployed,1,Domestic partnership,United States,Suburban,Polar,-45.0259,-32.3169,Tech-savvy,Social,Sustainability,3,97.78,174,18415.78,142,Social,Beauty,18473.43,142,174,18415.78,Desktop,Linux,Edge,62.8,Status,-52,3.7,0.07,19,2,Medium,Yes,13/04/2024,15/07/2025
CUST1016,Segment 17,53,Prefer not to say,73884,Masters,Retired,2,Married,United Kingdom,Rural,Temperate,-47.0996,130.2682,Eco-friendly,Introverted,Price,1,55.39,113,6587.47,190,Online,Sports,14972.02,190,113,6587.47,Tablet,Windows,Chrome,68.1,Lowest price,-25,4.9,0.65,7,0,Medium,Yes,05/03/2025,13/04/2025
CUST1017,Segment 18,57,Female,72832,Bachelors,Student,3,Single,Germany,Suburban,Mediterranean,-8.589,102.5734,Health-conscious,Conscientious,Quality,1,41.94,120,4126.58,532,Mobile app,Sports,4548.61,532,120,4126.58,Tablet,iOS,Safari,62.9,Status,11,1.4,0.07,28,0,Medium,Yes,03/05/2025,08/10/2024
CUST1018,Segment 19,41,Prefer not to say,65153,Masters,Professional,4,Divorced,Germany,Urban,Temperate,39.1609,140.2075,Tech-savvy,Spontaneous,Price,1,77.9,149,13482.4,226,In-store,Home & Garden,20428.73,226,149,13482.4,Tablet,Linux,Firefox,34,Novelty,74,1,0.38,7,0,Medium,Yes,23/02/2025,15/07/2025
CUST1019,Segment 20,20,Non-binary,57962,Bachelors,Self-employed,5,Domestic partnership,South Africa,Rural,Continental,58.6004,-95.1968,Tech-savvy,Social,Quality,3,33.75,122,4791.77,312,Phone,Apparel,5362.23,312,122,4791.77,Desktop,Other,Chrome,60.8,Sustainability,8,2.7,0.8,25,1,Medium,Yes,14/03/2024,22/01/2025
CUST1020,Segment 21,39,Male,22539,Masters,Manager,5,Single,Canada,Suburban,Continental,-33.4541,74.6429,Family-oriented,Analytical,Innovation,0,67.15,32,2389.65,628,Online,Beauty,5275.37,628,32,2389.65,Mobile,Other,Edge,70,Novelty,82,1.4,0.43,29,0,High,Yes,07/10/2025,11/02/2025
CUST1021,Segment 22,70,Female,52381,Other,Self-employed,4,Domestic partnership,South Africa,Suburban,Arid,15.3544,132.7353,Luxury-seeker,Conscientious,Convenience,0,12.9,119,1232.4,301,Mobile app,Beauty,2924.71,301,119,1232.4,Desktop,macOS,Firefox,68.9,Novelty,91,4,1,16,0,High,Yes,27/01/2021,13/07/2025
CUST1022,Segment 23,19,Prefer not to say,54719,Other,Student,2,Single,Germany,Urban,Polar,-8.102,-79.2547,Budget-conscious,Spontaneous,Convenience,4,63.6,39,2041.15,653,Phone,Electronics,2508.52,653,39,2041.15,Mobile,Android,Other,79.7,Lowest price,-36,4.7,0.56,19,0,Low,Yes,26/06/2025,10/10/2025
CUST1023,Segment 24,41,Non-binary,40932,PhD,Professional,5,Divorced,Brazil,Rural,Polar,56.6906,-111.381,Homebody,Analytical,Sustainability,0,101.9,12,1088.4,459,In-store,Beauty,1923.94,459,12,1088.4,Tablet,iOS,Edge,67.7,Sustainability,-20,2.7,0.32,19,0,High,Yes,30/04/2025,06/01/2025
CUST1024,Segment 25,61,Non-binary,60161,Other,Unemployed,3,Domestic partnership,Germany,Rural,Temperate,42.6331,77.5138,Adventurer,Conscientious,Brand,2,39.67,175,5918.54,400,In-store,Beauty,11319.05,400,175,5918.54,Tablet,iOS,Firefox,58.8,Lowest price,94,2,0.22,22,1,Medium,Yes,13/05/2024,27/12/2024
CUST1025,Segment 26,47,Female,77122,Other,Retired,2,Widowed,South Africa,Rural,Continental,42.2162,30.8525,Health-conscious,Analytical,Price,1,75.56,18,1305.04,550,Online,Electronics,2268.3,550,18,1305.04,Mobile,Linux,Edge,76.8,Status,-86,2.7,0.35,15,0,Medium,Yes,09/05/2023,11/05/2025
CUST1026,Segment 27,55,Female,121586,Masters,Retired,3,Divorced,South Africa,Urban,Polar,1.5562,105.7121,Health-conscious,Extroverted,Brand,0,83.36,149,14520.34,392,Online,Apparel,18034.99,392,149,14520.34,Desktop,Android,Firefox,49.3,Quality,-1,3.9,0.37,13,0,High,Yes,16/08/2025,02/12/2024
CUST1027,Segment 28,19,Non-binary,70237,Associate,Unemployed,1,Single,Canada,Rural,Tropical,-4.3699,-90.8637,Adventurer,Extroverted,Quality,1,102.15,141,14242.18,206,Mobile app,Automotive,26175.64,206,141,14242.18,Desktop,Android,Edge,28,Lowest price,-69,1,0.07,29,0,Low,Yes,22/01/2025,17/04/2025
CUST1028,Segment 29,77,Male,72727,Associate,Professional,2,Domestic partnership,United States,Rural,Polar,-19.9252,92.6748,Eco-friendly,Conscientious,Innovation,1,66.99,149,8038.72,209,Phone,Groceries,20115.74,209,149,8038.72,Desktop,Android,Other,45.9,Lowest price,-5,3.4,0.37,10,0,Low,No,26/11/2018,17/10/2025
CUST1029,Segment 30,38,Male,62767,Bachelors,Unemployed,5,Divorced,Brazil,Suburban,Temperate,-43.7987,-73.5444,Family-oriented,Spontaneous,Sustainability,1,140.15,126,16124.31,114,Social,Books,18414.21,114,126,16124.31,Mobile,Linux,Safari,31.4,Quality,27,3.5,0.46,6,0,Low,Yes,20/03/2025,17/04/2025
